品类,类型,名称,性味,神农本草经文,功效与主治
中品,植物/加工类,芜荑,味辛。,主五内邪气散，皮肤骨节中，淫，淫温行毒，去三虫，化食。一名无姑，一名殿塘。生川谷。,杀虫，消积。治虫积腹痛。小儿疳泻、冷痢，疥癣，恶疮。（脾胃虚弱者慎服）
中品,植物/果实种子类,枳实,味苦寒。,主大风在皮肤中，如麻豆苦痒，除寒热结，止利，长肌肉，利五脏，益气轻身。生川泽。,破气，散痞，泻痰，消积。治胸腹胀满，胸痹，痞痛，痰癖，水肿，食积，便秘，胃下垂，子宫下垂，脱肛。（脾胃虚弱及孕妇慎服）
中品,植物,厚朴,味苦温。,主中风，伤寒，头痛，寒热，惊悸气，血痹，死肌，去三虫。,
中品,植物,秦皮,味苦微寒。,主风寒湿痹，洗洗，寒气，除热，目中青翳白膜。久服，头不白，轻身。生川谷。,
中品,植物,秦菽,味辛温。,主风邪气，温中除寒痹，坚齿发，明目。久服，轻身，好颜色，耐老增年，通神。生川谷。,
中品,植物,山茱萸,味酸平。,主心下邪气，寒热，温中，逐寒湿痹，去三虫。久服轻身。一名蜀枣。生山谷。,
中品,植物,紫葳,味酸，微寒。,主妇人产乳余疾，崩中，症瘕，血闭，寒热，羸瘦，养胎。生川谷。,
中品,植物,猪苓,味甘平。,主痎疟，解毒蛊，注。不祥利水道。久服轻身耐老。一名猳猪尿。生山谷。,
中品,植物,白棘,味辛寒。,主心腹痛，痈肿渍脓，止痛。一名棘针。生川谷。,
中品,植物,龙眼,味甘平。,主五脏邪气，安志厌食。久服，强魂聪明，轻身，不老，通神明。一名益智。生山谷。,
中品,植物,松罗,味苦平。,主瞋怒邪气，止虚汗头风，女子阴寒肿病。一名女萝。生山谷。,
中品,植物,卫矛,味苦寒。,主女子崩中下血，腹满汗出，除邪，杀鬼毒虫注。一名鬼箭。生山谷。,
中品,植物,合欢,味甘平。,主安五脏，利心志，令人献乐无忧。久服轻身明目得所欲。生山谷。,
中品,植物,干姜,味辛温。,主胸满咳逆上气，温中止血，出汗，逐风，湿痹，肠澼，下利。生者尤良，久服去臭气，通神明。生川谷。,
中品,植物,枲耳实,味甘温。,主风头，寒痛，风湿，周痹，四肢拘挛，痛，恶肉死肌。久服益气，耳目聪明，强志轻身。一名胡枲，一名地葵。生川谷。,
中品,植物,葛根,味甘平。,主消渴，身大热，呕吐，诸痹，起阴气，解诸毒，葛谷，主下利，十岁已上。一名鸡齐根。生川谷。,
中品,植物,括楼根,味苦寒。,主消渴，身热，烦满，大热，补虚安中，续绝伤。一名地楼。生川谷，及山阴。,
中品,植物,苦参,味苦寒。,主心腹结气，症瘕积聚，黄疸，溺有余沥，逐水，除痈肿，补中，明目，止泪。一名水槐，一名苦识。生山谷及田野。,
中品,植物,当归,味甘温。,主咳逆上气，温虐，寒热，洗在皮肤中。妇人漏下绝子，诸恶创疡金创。煮饮之。一名干归。生川谷。,
中品,植物/全草类,麻黄,味苦温。,主中风伤寒头痛温疟，发表，出汗，去邪热气，止咳逆上气，除寒热，破症坚积聚。一名龙沙。,发汗，平喘，利水。治伤寒表实，发热恶寒无汗、头痛鼻塞、骨节疼痛；咳嗽气喘；风水浮肿，小便不利；风邪顽痹，皮肤不仁，风疹瘙痒。（凡素体虚弱而自汗、盗汗、气喘者，均忌服）
中品,植物,芍药,味苦平。,主邪气腹痛，除血痹，破坚积寒热，疝瘕，止痛，利小便，益气。生川谷及丘陵。,
中品,植物,蠡实,味甘平。,主皮肤寒热，胃中热气，寒湿痹，坚筋骨，今人嗜食。久服轻身。花叶，去白虫。一名剧草，一名三坚一名豕首。生川谷。,
中品,植物/全草类,瞿麦,味苦寒。,主关格，诸癃结，小便不通，出刺，决痈肿，明目去翳，破胎堕子，下闭血。一名巨句麦。生川谷。,清热利水，破血通经。治小便不通，淋病，水肿，经闭，痈肿，目赤障翳，浸淫疮毒。（脾、肾气虚及孕妇忌服）
中品,植物,元参,味苦微寒。,主腹中寒热积聚，女子产乳余疾，补肾气，令人目明。一名重台。生川谷。,
中品,植物,秦艽,味苦平。,主寒热邪气，寒湿，风痹，肢节痛，下水，利小便。生山谷。,
中品,植物,百合,味甘平。,主邪气腹张心痛，利大小便，补中益气。生川谷。,
中品,植物,知母,味苦寒。,主消渴，热中，除邪气，肢体浮肿，下水，补不足，益气。,
中品,植物,贝母,味辛平。,主伤寒烦热，淋沥邪气，疝瘕，喉痹，乳难，金创，风痉。一名空草。,
中品,植物,白芷,味辛温。,主女人漏下赤白，血闭，阴肿，寒热，风头，侵目，泪出，长肌肤、润泽，可作面脂。一名芳香。生川谷。,
中品,植物/全草类,淫羊藿,味辛寒。,主阴痿绝伤，茎中痛，利小便，益气力，强志。一名刚前。生山谷。,补肾壮阳，祛风除湿。治阳痿不举，小便淋沥，筋骨挛急，半身不遂，腰膝无力，风湿痹痛，四肢不仁。
中品,植物,黄芩,味苦平。,主诸热黄疽，肠澼，泄利，逐水，下血闭，恶创恒蚀，火疡。一名腐肠。生川谷。,
中品,植物,狗脊,味苦平。,主腰背强关机，缓急，周痹，寒湿，膝痛，颇利老人。一名百枝。生川谷。,
中品,植物,石龙芮,味苦平。,主风寒湿痹，心腹邪气，利关节，止烦满。久服，轻身明目，不老。一名鲁果能，一名地椹，生川泽石边。,
中品,植物,茅根,味甘寒。,主劳伤虚羸，补中益气，除淤血，血闭寒热，利小便，其苗，主下水。一名兰根，一名茹根。生山谷田野。,
中品,植物,紫菀,味苦温。,主咳逆上气，胸中寒热结气，去蛊毒痿蹶，安五藏。生山谷。,
中品,植物,紫草,味苦寒。,主心腹邪气五疸，补中益气，利九窍，通水道。一名紫丹，一名紫芙。生山谷。,
中品,植物,败酱,味苦平。,主暴热火创，赤气，疥搔，疸痔，马鞍，热气。一名鹿肠。生川谷。,
中品,植物,白鲜,味苦寒。,主头风，黄疸，咳逆，淋沥，女子阴中肿痛，湿痹死肌，不可屈伸，起止行步。生川谷。,
中品,植物,酸酱,味酸平。,主热烦满，定志益气，利水道，产难吞其实立产。一名醋酱。生川泽。,
中品,植物,紫参,味苦辛寒。,主心腹积聚，寒热邪气。通九窍，利大小便。一名牡蒙。生山谷。,
中品,植物,藁本,味辛温。,主妇人疝瘕，阴中寒肿痛，腹中急，除风头痛，长肌肤：说颜色。一名鬼卿，一名地新。生山谷。,
中品,植物/全草类,石韦,味苦平。,主劳热邪气，五癃闭不通，利小便水道。一名石。生山谷石上。,利水通淋，清肺泄热。治淋痛，尿血，尿路结石，肾炎，崩漏，痢疾，肺热咳嗽，慢性气管炎，金疮，痈疽。（阴虚及无湿热者忌服）
中品,植物,萆薢,味苦平。,主腰背痛，强骨节，风寒湿，周痹，恶创不瘳，热气。生山谷。,
中品,植物,白薇,味苦平。,主暴中风，身热肢满，忽忽不知人，狂惑，邪气，寒热酸痋，温疟、洗洗发作有时。生川谷。,
中品,植物,水萍,味辛寒。,主暴热身痒，下水气胜酒，长须发，消渴。久服轻身。一名水华。生池泽。,
中品,植物,王瓜,味苦寒。,主消渴内痹淤血，月闭，寒热，酸疼，益气，俞聋。一名土瓜。生平泽。,
中品,植物,地榆,味苦微寒。,主妇人乳痓痛，七伤带下病，止痛。除恶肉，止汗，疗金创。生山谷。,
中品,植物,海藻,味苦寒。,主瘿瘤气，颈下核，破散结气，痈肿症瘕坚气，腹中上下鸣，下水十二肿。一名落首。生池泽。,
中品,植物/全草类,泽兰,味苦微温。,主乳妇内，中风余疾，大腹水肿，身面四肢浮肿，骨节中水，金创痈肿创脓。一名虎兰，一名龙枣。生大泽傍。,活血，行水。治经闭，癥瘕，产后瘀滞腹痛，身面浮肿，跌扑损伤，金疮，痈肿。（无瘀血者慎服）
中品,植物,防己,味辛平。,主风寒温疟热气诸痈，除邪，利大小便。一名解离。生川谷。,
中品,植物/花类/花类,款冬花,味辛温。,主咳逆上气，善喘，喉痹，诸惊痫，寒热邪气。一名橐吾，一名颗东，一名虎须，一名免奚。生山谷。,润肺下气，化痰止嗽。治咳逆喘息，喉痹。
中品,植物,牡丹,味苦辛寒。,主寒热，中风，瘈疭，痉，惊痫，邪气，除症坚，淤血留舍肠胃，安五脏，疗痈创。一名鹿韭，一名鼠姑。生山谷。,
中品,植物,马先蒿,味平。,主寒热，鬼注，中风湿痹，女子带下病，无子。一名马尿蒿。生川泽。,
中品,植物/全草类,积雪草,味苦寒。,主大热，恶创痈疽，浸淫，赤熛，皮肤赤，身热。生川谷。,清热利湿，消肿解毒。治痧气腹痛，暑泻，痢疾，湿热黄疸，砂淋，血淋，吐、衄、咳血，目赤，喉肿，风疹，疥癣，疔痈肿毒，跌打损伤。（虚寒者不宜）
中品,植物,王孙,味苦平。,主五臧邪气，寒湿痹，四肢疼酸，膝冷痛。生川谷。,
中品,植物,蜀羊泉,味苦微寒。,主头秃恶创，热气，疥搔，痂癣虫，疗龋齿。生川谷。,
中品,植物,爵床,味咸寒。,主腰脊痛，不得着床，俯仰艰难，除热，可作浴汤。生川谷及田野。,
中品,植物,假苏,味辛温。,主寒热，鼠瘘，瘰疬生创，破结聚气，下淤血，除湿痹，一名鼠蓂，生川泽。,
中品,植物,翘根,味甘寒平。,主下热气，益阴精，令人面说好，明目。久服轻身耐老。生平泽。,
中品,植物,梅实,味酸平。,主下气，除热，烦满，安心，肢体痛，偏枯不仁，死肌，去青黑志，恶疾。生川谷。,
中品,植物,大豆黄卷,味甘平。,主湿痹，筋挛，膝痛。生大豆，涂痈肿。煮汁，饮，杀鬼毒，止痛，赤小豆。主下水，排痈肿脓血。生平泽。,
中品,植物,粟米,味咸微寒。,主养肾气，去胃脾中热，益气。陈者，味苦，主胃热，消渴，利小便。,
中品,植物,黍米,味甘温。,主益气补中，多热，令人烦。,
中品,植物,蓼实,味辛温。,主明目温中，耐风寒，下水气，面目浮肿，痈疡，马蓼，去肠中蛭虫，轻身。生川泽。,
中品,植物,葱实,味辛温。,主明目补中不足，其茎可作汤，主伤寒寒热，出汗，中风面目肿。,
中品,植物,水苏,味辛微温。,主下气，辟口臭，去毒，辟恶。久服，通神明，轻身，耐老。生池泽。,
上品,玉石,丹沙,味甘、微寒。,主身体五藏百病，养精神，安魂魄，益气，明目，杀精魅邪恶鬼。久服，通神明不老。能化为汞，生山谷。。,
上品,玉石,云母,味甘平。,主身皮死肌，中风寒热，如在车船上，除邪气，安五脏，益子精，明目，久服轻身延年。一名云珠，一名云华，一名云英，一名云液，一名云沙，一名磷石，生山谷。,
上品,玉石,玉泉,味甘平。,主五藏百病，柔筋强骨，安魂魄，长肌肉，益气，久服耐寒暑，不饥渴，不老神仙。人临死服五斤，死三年色不变。一名玉札，生山谷。,
上品,玉石,石钟乳,味甘温。,主咳逆上气，明目益精，安五藏，通百节，利九窍，下乳汁。生山谷。,
上品,玉石,消石,味苦寒。,主五藏积热，胃张闭，涤去蓄结饮食，推陈致新，除邪气。炼之如膏，久服轻身。生山谷。,
上品,玉石,朴消,味苦寒。,主百病，除寒热邪气，逐六府积聚，结固，留癖，能化七十二种石。炼饵服之，轻身神仙。生山谷。,
上品,玉石/金石类,滑石,味甘寒。,主身热泄澼，女子乳难，癃闭。利小便，荡胃中积聚寒热，益精气。久服，轻身，耐饥，长年。生山谷。,清热，渗湿，利窍。治暑热烦渴，小便不利，水泻，热痢，淋病，黄疸，水肿，衄血，脚气，皮肤湿烂。（脾虚气弱，精滑及热病津伤者忌服。孕妇慎服）
上品,玉石,石胆,味酸寒。,主明目，目痛，金创，诸癎痉，女子阴蚀，痛，石淋，寒热，崩中下血，诸邪毒气，令人有子。炼饵服之，不老，久服，增寿神仙。能化铁为铜，成金银。一名毕石，生山谷。,
上品,玉石,空青,味甘寒。,主眚盲，耳聋。明目，利九窍，通血脉，养精神。久服，轻身延年不老。能化铜铁铅锡作金。生山谷。,
上品,玉石,曾青,味酸小寒。,主目痛止泪，出风痹，利关节，通九窍，破症坚积聚。久服轻身不老。能化金铜，生山谷。,
上品,玉石/金石类,禹余粮,味甘寒。,主咳逆寒热，烦满下，赤白，血闭，症瘕，大热。炼饵服之，不饥，轻身延年。生池泽及山岛中。,涩肠止血。治久泻久痢，妇人崩漏带下，痔漏。（实证忌服，孕妇慎服）
上品,玉石,太乙余粮,味甘平。,主咳逆上气，症瘕，血闭，漏下，余邪气。久服耐寒署，不饥，轻身，飞行千里，神仙。一名石脑，生山谷。,
上品,玉石/金石类,白石英,味甘，微温。,主消渴，阴痿，不足，咳逆，胸鬲间久寒，益气，除风湿痹。久服，轻身，长年。生山谷。,温肺肾，安心神，利小便。治肺寒咳喘，阳痿，消渴，心神不安，惊悸善忘，小便不利，黄疸，石水，风寒湿痹。
上品,玉石/金石类,紫石英,味甘温。,主心腹咳逆，邪气，补不足，女子风寒在子宫，绝孕，十年无子。久服，温中，轻身延年。生山谷。,镇心，安神，降逆气，暖子宫。治虚劳惊悸，咳逆上气，妇女血海虚寒不孕。（阴虚火旺者忌服）
上品,玉石,青石、赤石、黄石、白石、黑石脂等,味甘平。,主黄疸，泄利，肠癖，脓血，阴蚀，下血，赤白，邪气，痈肿，疽痔，恶创，头疡，疥搔。久服，补髓益气，肥健，不饥，轻身延年。五石脂，各随五色补五脏。生山谷中。,
上品,玉石,白青,味甘平。,主明目，利九窍，耳聋，心下邪气，令人吐，杀诸毒，三虫。久服通神明，轻身，延年不老。生山谷。,
上品,玉石,扁青,味甘平。,主目痛，明目，折跌，痈肿，金创不疗，破积聚，解毒气，利精神。久服，轻身不老。生山谷。,
下品,动物,豚卵,味苦温。,主惊痫，瘨疾，鬼注，蛊毒，除寒热，贲豚，五癃，邪气，挛缩。一名豚颠，悬蹄，主五痔，伏热，在肠，肠痈，内蚀。,
下品,动物,麋脂,味辛温。,主痈肿，恶创，死肌，寒风，湿痹，四肢拘缓不收，风头，肿气，通凑理。一名官脂。生山谷。,
下品,动物,六畜毛蹄甲（马、牛、羊、猪、狗、鸡）,味咸平。,主鬼注，蛊毒，寒热，惊痫，瘨痓，狂走，骆驼毛，尤良。,
下品,动物,虾蟆,味辛寒。,主邪气，破症坚，血痈肿，阴创。服之不患热病。生池泽。,
下品,动物,马刀,味辛微寒。主漏下赤白，寒热，破石淋，杀禽兽贼鼠。生池泽。,《吴普》曰：马刀，一名齐蛤，神农岐伯桐君咸有毒，扁鹊小寒大毒，生池泽江海，采无时也。,
下品,动物,蛇蜕,味咸平。,主小儿百二十种惊痫，葜疭、瘨疾，寒热，肠痔，虫毒，蛇痫。火熬之良。一名龙子衣，一名蛇符，一名龙子单衣，一名弓皮。生川谷及田野。,
下品,动物,蚯蚓,味咸寒。,主蛇瘕，去三虫，伏尸，鬼注，蛊毒，杀长虫，仍自化作水。生平土。,
下品,动物,蠮螉,味辛平。,主久聋，咳逆，毒气，出刺出汗。生川谷。,
下品,动物,蜈蚣,味辛温。,主鬼注蛊毒，啖诸蛇虫鱼毒，杀鬼物老精，温虐，去三虫。生川谷。,
下品,动物,水蛭,味咸平。,主逐恶血淤血，月闭。破血瘕积聚，无子，利水道。生池泽。,
下品,动物,班苗,味辛寒。,主寒热，鬼注，蛊毒，鼠瘘，恶创，疽蚀，死肌，破石癃。一名龙尾。生川谷。,
下品,动物,贝子,味咸平。,主目翳，鬼注，虫毒，腹痛，下血，五癃，利水道，烧用之良。生池泽。,
下品,动物,石蚕,味咸寒。,主五癃，破石淋，堕胎，内解结气，利水道，除热。一名沙虱。生池泽。,
下品,动物,雀瓮,味甘平。,主小儿惊痫，寒热，结气，蛊毒。鬼注。一名躁舍。,
下品,动物,蜣螂,味咸寒。,主小儿惊痫，瘈疭，腹张，寒热，大人瘨疾狂易。一名蛣蜣。火熬之良。生池泽。《名医》曰：生长沙，五月五日取，蒸藏之。,
下品,动物,蝼蛄,味咸寒。,主产难，出肉中刺，溃痈肿，下哽噎，解毒，除恶创。一名蟪蛄，一名天蝼，一名。夜出者良，生平泽。,
下品,动物,马陆,味辛温。,主腹中大坚症，破积聚，息肉，恶创，白秃。一名百足。生川谷。,
下品,动物,地胆,味辛寒。,主鬼注，寒热，鼠蝼，恶创，死肌，破症瘕，堕胎。一名蚖青，生川谷。,
下品,动物,鼠妇,味酸温。,主气癃，不得小便，女人月闭，血症，痫痓，寒热，利水道。一名负蟠，一名威。生平谷。,
下品,动物,荧火,味辛微温。,主明目，小儿火创伤，热，气，蛊毒，鬼注，通神。一名夜光。生池泽。,
下品,动物,衣鱼,味咸温。,无毒，主妇人疝瘕，小便不利，小儿中风，项强，背起摩之。一名白鱼，生平洋。,
上品,动物,发髲,味苦温。,主五癃，关格不通，利小便水道，疗小儿痫，大人痓，仍自还神化。,
上品,动物/金石类,龙骨,味甘平。,主心腹，鬼注，精物老魅，咳逆，泄利，脓血，女子漏下，症瘕坚结，小儿热气惊痫，齿主，小儿大人惊痫瘨疾狂走，心下结气，不能喘息，诸痉，杀精物。久服，轻身通神明，延年。生山谷。,镇惊安神，敛汗固精，止血涩肠，生肌敛疮。治惊痫癫狂，怔忡健忘，失眠多梦，自汗盗汗，遗精淋浊，吐衄便血，崩漏带下，泻痢脱肛，溃疡久不收口。
上品,动物,麝香,味辛温。,主辟恶气，杀鬼精物，温疟，蛊毒，痫痓，去三虫。久服除邪，不梦寤厌寐。生川谷。,
上品,动物,牛黄,味苦平。,主惊痫，寒热，热盛狂痓，除邪逐鬼。生平泽。,
上品,动物,熊脂,味微寒。,主风痹不仁，筋急五藏腹中积聚，寒热羸瘦，头疡，白秃，面皯疱。久服，强志不饥。轻身。生山谷。,
上品,动物,白胶,味甘平。,主伤中劳绝，腰痛，羸瘦，补中益气，妇人血闭无子，止痛，安胎。久服轻身延年。一名鹿角胶。,
上品,动物/加工类,阿胶,味甘平。,主心腹，内崩，劳极，洒洒如疟状，腰腹痛，四肢酸疼，女子下血安胎，久服轻身益气，一名傅致胶。,滋阴补血，安胎。治血虚，虚劳咳嗽，吐血，衄血、便血，妇女月经不调，崩中，胎漏。（脾胃虚弱者慎服）
上品,动物,丹雄鸡,味甘微温。,主女人崩中漏下，赤白沃，补虚，温中，止血，通神，杀毒辟不祥，头主杀鬼，东门上者尤良。,
上品,动物,雁肪,味甘平。主风挛，拘急，偏枯，气不通利，久服，益气不饥，轻身耐老。一名鹜肪。生池泽。,《吴普》曰：雁肪神农岐伯雷公甘无毒，杀诸石药毒。,
上品,动物,石蜜,味甘平。,主心腹邪气，诸惊痫痓，安五藏，诸不足，益气补中，止痛解毒，除众病，和百药。久服，强志轻身，不饥不老。一名石饴。生山谷。,
上品,动物,蜂子,味甘平。,主风头，除蛊毒，补虚羸伤中。久服，令人光泽，好颜色，不老，大黄蜂子，主心腹，复满痛，轻身益气，土蜂子，主痈肿。一名蜚零。生山谷。,
上品,动物,蜜蜡,味甘微温。,主下利脓血，补中续绝伤金创，益气不饥耐老。生山谷。,
上品,动物,牡蛎,味咸平。,主伤寒寒热，温疟洒洒，惊恚怒气，除拘缓鼠瘘，女子带下赤白。久服，强骨节，杀邪气，延年。一名蛎蛤，生池泽。,
上品,动物,龟甲,味咸平。,主漏下赤白，破症瘕，痎疟，五痔，阴蚀，湿痹，四肢重弱，小儿囟不合。久服，轻身不饥。一名神屋。生池泽。,
上品,动物,桑蜱蛸,味咸平。,主伤中，疝瘕，阴痿，益精生子，女子血闭，腰痛，通五淋，利小便水道。一名蚀疣，生桑枝上，采，蒸之。,
上品,动物,海蛤,味苦平。,主咳逆上气，喘息烦满，胸痛，寒热。一名魁蛤。,
上品,动物,鲤鱼胆,味苦寒。,主目热赤痛青盲，明目。久服，强悍益志气。生池泽。,
下品,玉石,石灰,味辛温。,主疽疡疥搔，热气，恶创，癞疾，死肌，堕眉，杀痔虫，去黑子息肉。一名恶疢.生山谷。,
下品,玉石,礜石,味辛大热。,主寒热，鼠瘘，蚀创，死肌，风痹，腹中坚，一名青分石，一名立制石，一名固羊石，出山谷。,
下品,玉石,铅丹,味辛微寒。,主土逆胃反，惊痫瘨疾，除热下气，炼化还成九光。久服通神明。生平泽。,
下品,玉石,粉锡,味辛寒。,主伏尸毒螯，杀三虫。一名解锡，锡镜鼻。主女子血闭，症瘕，伏肠，绝孕。生山谷。,
下品,玉石,代赭,味苦寒。,主鬼注，贼风，蛊毒，杀精物恶鬼，腹中毒，邪气，女子赤沃漏下。一名须丸。生山谷。,
下品,玉石,白垩,味苦温。,主女子寒热症瘕，目闭，积聚。生山谷。,
下品,玉石,冬灰,味辛微温。,主黑子，去疣息肉，疽蚀，疥搔。一名藜灰。生川泽。,
下品,玉石,青琅玕,味辛平。,主身痒，火创，痈伤，疥搔，死肌。一名石珠。生平泽。,
中品,动物,白马茎,味咸平。,主伤中脉绝，阴不起，强志益气，长肌肉，肥健，生子。,
中品,动物,鹿茸,味甘温。,主漏下恶血，寒热，惊痫，益气强志，生齿不老。,
中品,动物,羖羊角,味咸温。,主青盲明目，杀疥虫，止寒泄，辟恶鬼虎狼，止惊悸。久服，安心益气，轻身。生川谷。,
中品,动物,牡狗阴茎,味咸平。,主伤中，阴痿不起，令强热大，生子，除女子带下十二疾。一名狗精。胆主明目。,
中品,动物,羚羊角,味咸寒。,主明目，益气起阴，去恶血注下，辟蛊毒恶鬼不祥，安心气，常不厌寐。生川谷。,
中品,动物,犀角,味苦寒。,主百毒虫注，邪鬼，障气杀钩吻鸩羽蛇毒，除不迷或厌寐。久服轻身。生山谷。,
中品,动物,燕屎,味辛平。,主蛊毒鬼注，逐不样邪气，破五癃，利小便。生平谷。,
中品,动物,天鼠屎,味辛寒。,主面痈肿，皮肤洗洗，时痛，肠中血气，破寒热积聚，除惊悸。一名鼠沄，一名石肝。生山谷。,
中品,动物,猬皮,味苦平。,主五痔阴蚀下血，赤白五色，血汁不止，阴肿痛引要背，酒煮杀之。生川谷。,
中品,动物,露蜂房,味苦平。主惊痫瘈疭，寒热邪气，瘨疾，鬼精，蛊毒肠痔。火熬之，良。一名蜂肠。生山谷。,《名医》曰：一名百穿，一名蜂。生牂柯，七月七日采，阴干。,
中品,动物,鳖甲,味咸平。,主心腹症瘕坚积，寒热，去痞息肉，阴蚀，痔恶肉。生池泽。,
中品,动物,蟹,味咸寒。,主脑中邪气，热结痛，?僻面肿败漆。烧之致鼠。生池泽。,
中品,动物,柞蝉,味咸寒。,主小儿惊痫，夜啼，瘨病，寒热，生杨柳上。,
中品,动物,蛴螬,味咸微温。,主恶血，血淤，痹气，破折血在胁下坚满痛，月闭，目中淫肤，青翳，白膜。一名蟦蛴。生平泽。,
中品,动物,乌贼鱼骨,味咸微温。,主女子漏下，赤白经汁，血闭，阴蚀，肿痛，寒热，症瘕，无子。生池泽。,
中品,动物,白僵蚕,味咸。,主小儿惊痫夜蹄，去三虫，减黑皯，令人面色好，男子阴疡病。生平泽。,
中品,动物,蛇鱼甲,味辛微温。,主心腹症瘕，伏坚，积聚，寒热，女子崩中，下血五色，小腹阴中相引痛，创疥，死肌。生池泽。,
中品,动物,樗鸡,味苦平。,主心腹邪气，阴痿，益精，强志，生子好色，补中轻身。生川谷。,
中品,动物,蛞蝓,味咸寒。,主贼风，?僻，轶筋，及脱肛，惊痫挛缩。一名陵蠡。生池泽。,
中品,动物,石龙子,味咸寒。,主五癃邪，结气，破石淋，下血，利小便水道。一名蜥易。生川谷。,
中品,动物,木虻,味苦平。,主目赤痛，眦伤，泪出，淤血，血闭，寒热酸无子。一名魂常。生川泽。,
中品,动物,蜚虻,味苦微寒。,主逐淤血，破下血积坚痞症瘕，寒热，通利血脉及九窍。生川谷。,
中品,动物,蜚廉,味咸寒。,主血淤，，症坚，寒热，破积聚，喉咽痹，内寒，无子。生川泽。,
中品,动物,蟅虫,味咸寒。,主心腹寒热，洗洗，血积症瘕，破坚，下血闭，生子大，良。一名地鳖。生川泽。,
中品,动物,伏翼,味咸平。,主目瞑，明目，夜视有精光。久服，令人喜乐，媚好无忧。一名蝙蝠。生川谷，。,
中品,玉石/金石类,雄黄,味苦平寒。,主寒热，鼠瘘恶创，疽痔死肌，杀精物，恶鬼，邪气，百虫毒，胜五兵。炼食之，轻食神仙。一名黄食石。生山谷。,燥湿，祛风，杀虫，解毒。治疥癣，秃疮，痈疽，走马牙疳，缠腰蛇丹，破伤风，蛇虫蟹伤，腋臭，臁疮，哮喘，喉痹，惊痫，痔瘘。（阴亏血虚及孕妇忌服）
中品,玉石/金石类,雌黄,味辛平。,主恶创头秃痂疥，杀毒虫虱，身痒，邪气诸毒。炼之，久服，轻身增年不老。生山谷。, 燥湿，杀虫，解毒。治疥癣，恶疮，蛇虫螫伤，癫痫，寒痰咳喘，虫积腹痛。（阴亏血虚及孕妇忌服）
中品,玉石/金石类,水银,味辛寒。,主疥瘘痂疡白秃，杀皮肤中虱，堕胎，除热，杀金银铜锡毒。熔化还复为丹，久服神仙不死。生平土。,杀虫，攻毒。治疥痹，梅毒，恶疮，痔瘘。（大毒之品，不宜内服，孕妇尤忌。外用亦不可过量或久用，以免中毒）
中品,玉石/金石类,石膏,味辛微寒。,主中风寒热，心下逆气惊喘，口干，苦焦，不能息，腹中坚痛，除邪鬼，产乳，金创。生山谷。,生用解肌清热，除烦止渴。治热病壮热不退，心烦神昏，谵语发狂，口渴咽干，肺热喘急，中暑自汗，胃火头痛、牙痛，热毒壅盛，发斑发疹，口舌生疮。煅敷生肌敛疮。外治痈疽疮疡，溃不收口，汤火烫伤。（脾胃虚寒及血虚、阴虚发热者忌服）
中品,玉石,慈石,味辛寒。,主周痹，风湿，肢节中痛不可持物，洗洗，酸消，除大热烦满及耳聋。一名元石。生山谷。,
中品,玉石,凝水石,味辛寒。,主身热，腹中积聚，邪气，皮中如火烧，烦满，水饮之。久服不饥。一名白水石。生山谷。,
中品,玉石/金石类,阳起石,味咸微温。,主崩中漏下，破子臧中血，症瘕结气，寒热，腹痛无子，阴痿不起，补不足。一名白石。生山谷。,温补命门。治下焦虚寒，腰膝冷痹，男子阳痿，女子宫冷，癥瘕崩漏。（阴虚火旺者忌服）
中品,玉石,孔公蘖,味辛温。,主伤食不化，邪结气，恶创，疽瘘痔，利九窍，下乳汁。生山谷。,
中品,玉石,殷孽,味辛温。,主烂伤淤血，泄利寒热，鼠寒瘘症瘕结气。一名姜石。生山谷。,
中品,玉石,理石,味辛寒。,主身热，利胃解烦，益精明目，破积聚，去三虫。一名石立制石。生山谷。,
中品,玉石,长石,味辛寒。,主身热，四肢寒厥，利小便，通血脉，明目，去翳，眇，下三虫，杀蛊毒。久服不饥。一名方石。生山谷。,
中品,玉石,肤青,味辛平。,主蛊毒，及蛇菜肉诸毒，恶创。生川谷。,
,全草类,苦地丁,,,清热解毒。治温病高热烦躁，流感，传染性肝炎，肾炎，瘰疬，腮腺炎，疔疮及其它化脓性感染。
,全草类,甜地丁,,,清热利湿，解毒消肿。治疔疮，痈肿，瘰疬，黄疸，痢疾，腹泻，目赤，喉痹，毒蛇咬伤。（体质虚寒者忌服）
,全草类,紫花地丁,,,清热解毒，凉血消肿。用于疔疮肿毒，痈疽发背，丹毒，毒蛇咬伤。
,全草类,石见穿,,,治噎膈，痰喘，肝炎，赤白带，痈肿，瘰疬。
,全草类,寻骨风,,,治风湿关节痛，腹痛，疟疾，痈肿。（阴虚内热者忌用）
,全草类,佩兰,,,清暑，辟秽，化湿，调经。治感受暑湿，寒热头痛，湿邪内蕴，脘痞不饥，口甘苔腻，月经不调。（阴虚、气虚者忌服）
,全草类,千里光,,,清热，解毒，杀虫，明目。治各种急性炎症性疾病，风火赤眼，目翳，伤寒，菌痢，大叶肺炎，扁桃体炎，肠炎，黄疸，流行性感冒，毒血症，败血症，痈肿疖毒，干湿癣疮，丹毒，湿疹，烫伤，滴虫性阴道炎。用于风热感冒、目赤肿痛、泄泻痢疾、皮肤湿疹疮疖。（中寒泄泻者勿服）
